Time_s	x-10.0	x-9.0	x-8.0	x-7.0	x-6.0	x-5.0	x-4.0	x-3.0	x-2.0	x-1.0	x0.0	x1.0	x2.0	x3.0	x4.0	x5.0	x6.0	x7.0	x8.0	x9.0	x10.0
8.5005	1.54589e-10	1.42282e-09	1.03669e-08	5.97964e-08	4.08648e-07	2.96542e-06	1.90243e-05	0.00010457	0.000385179	0.000710597	0.000825335	0.000733494	0.00040222	0.000105027	1.90243e-05	2.96542e-06	4.08648e-07	5.97964e-08	1.03669e-08	1.42282e-09	1.54589e-10
8.5010	1.54662e-10	1.42348e-09	1.03717e-08	5.98245e-08	4.08842e-07	2.96687e-06	1.90344e-05	0.000104644	0.000385867	0.000712315	0.000827134	0.000734748	0.000402438	0.000105074	1.90344e-05	2.96687e-06	4.08842e-07	5.98245e-08	1.03717e-08	1.42348e-09	1.54662e-10
8.5015	1.54733e-10	1.42414e-09	1.03765e-08	5.98521e-08	4.09032e-07	2.96829e-06	1.90443e-05	0.000104717	0.000386542	0.000714006	0.000828905	0.000735983	0.000402655	0.000105122	1.90443e-05	2.96829e-06	4.09032e-07	5.98521e-08	1.03765e-08	1.42414e-09	1.54733e-10
8.5020	1.54803e-10	1.42478e-09	1.03812e-08	5.98791e-08	4.09219e-07	2.96969e-06	1.9054e-05	0.000104788	0.000387203	0.000715669	0.000830649	0.000737201	0.000402871	0.00010517	1.9054e-05	2.96969e-06	4.09219e-07	5.98791e-08	1.03812e-08	1.42478e-09	1.54803e-10
8.5025	1.54871e-10	1.42541e-09	1.03858e-08	5.99055e-08	4.09401e-07	2.97106e-06	1.90635e-05	0.000104858	0.000387851	0.000717306	0.000832367	0.0007384	0.000403087	0.000105217	1.90636e-05	2.97106e-06	4.09401e-07	5.99055e-08	1.03858e-08	1.42541e-09	1.54871e-10
8.5030	1.54938e-10	1.42603e-09	1.03903e-08	5.99314e-08	4.0958e-07	2.9724e-06	1.90729e-05	0.000104927	0.000388486	0.000718916	0.000834058	0.000739583	0.000403301	0.000105264	1.90729e-05	2.9724e-06	4.0958e-07	5.99314e-08	1.03903e-08	1.42603e-09	1.54938e-10
8.5035	1.55004e-10	1.42663e-09	1.03946e-08	5.99567e-08	4.09755e-07	2.97371e-06	1.9082e-05	0.000104994	0.000389108	0.000720501	0.000835724	0.000740748	0.000403513	0.000105311	1.9082e-05	2.97371e-06	4.09755e-07	5.99567e-08	1.03946e-08	1.42663e-09	1.55004e-10
8.5040	1.55068e-10	1.42722e-09	1.03989e-08	5.99815e-08	4.09927e-07	2.975e-06	1.9091e-05	0.000105059	0.000389717	0.00072206	0.000837364	0.000741896	0.000403725	0.000105358	1.9091e-05	2.975e-06	4.09927e-07	5.99815e-08	1.03989e-08	1.42722e-09	1.55068e-10
8.5045	1.55131e-10	1.4278e-09	1.04032e-08	6.00058e-08	4.10094e-07	2.97626e-06	1.90998e-05	0.000105123	0.000390314	0.000723594	0.000838978	0.000743028	0.000403935	0.000105405	1.90998e-05	2.97626e-06	4.10094e-07	6.00058e-08	1.04032e-08	1.4278e-09	1.55131e-10
8.5050	1.55192e-10	1.42836e-09	1.04073e-08	6.00296e-08	4.10259e-07	2.97749e-06	1.91084e-05	0.000105186	0.000390899	0.000725103	0.000840568	0.000744143	0.000404144	0.000105451	1.91084e-05	2.97749e-06	4.10259e-07	6.00296e-08	1.04073e-08	1.42836e-09	1.55192e-10
8.5055	1.55252e-10	1.42892e-09	1.04113e-08	6.00529e-08	4.10419e-07	2.9787e-06	1.91169e-05	0.000105248	0.000391473	0.000726588	0.000842134	0.000745241	0.000404352	0.000105497	1.91169e-05	2.9787e-06	4.10419e-07	6.00529e-08	1.04113e-08	1.42892e-09	1.55252e-10
8.5060	1.55311e-10	1.42946e-09	1.04153e-08	6.00756e-08	4.10577e-07	2.97988e-06	1.91251e-05	0.000105308	0.000392034	0.000728048	0.000843675	0.000746323	0.000404558	0.000105543	1.91251e-05	2.97988e-06	4.10577e-07	6.00756e-08	1.04153e-08	1.42946e-09	1.55311e-10
8.5065	1.55369e-10	1.42999e-09	1.04191e-08	6.00979e-08	4.1073e-07	2.98104e-06	1.91332e-05	0.000105367	0.000392585	0.000729485	0.000845192	0.000747389	0.000404763	0.000105588	1.91332e-05	2.98104e-06	4.1073e-07	6.00979e-08	1.04191e-08	1.42999e-09	1.55369e-10
8.5070	1.55425e-10	1.4305e-09	1.04229e-08	6.01196e-08	4.10881e-07	2.98217e-06	1.91411e-05	0.000105425	0.000393124	0.000730899	0.000846686	0.000748439	0.000404966	0.000105633	1.91411e-05	2.98217e-06	4.10881e-07	6.01196e-08	1.04229e-08	1.4305e-09	1.55425e-10
8.5075	1.5548e-10	1.43101e-09	1.04266e-08	6.01409e-08	4.11028e-07	2.98328e-06	1.91489e-05	0.000105482	0.000393652	0.000732289	0.000848157	0.000749474	0.000405167	0.000105677	1.91489e-05	2.98328e-06	4.11028e-07	6.01409e-08	1.04266e-08	1.43101e-09	1.5548e-10
8.5080	1.55534e-10	1.43151e-09	1.04302e-08	6.01617e-08	4.11172e-07	2.98436e-06	1.91565e-05	0.000105537	0.00039417	0.000733657	0.000849604	0.000750493	0.000405367	0.000105721	1.91565e-05	2.98436e-06	4.11172e-07	6.01617e-08	1.04302e-08	1.43151e-09	1.55534e-10
8.5085	1.55586e-10	1.43199e-09	1.04337e-08	6.0182e-08	4.11312e-07	2.98541e-06	1.91639e-05	0.000105591	0.000394677	0.000735003	0.00085103	0.000751497	0.000405565	0.000105765	1.91639e-05	2.98541e-06	4.11312e-07	6.0182e-08	1.04337e-08	1.43199e-09	1.55586e-10
8.5090	1.55637e-10	1.43246e-09	1.04371e-08	6.02018e-08	4.11449e-07	2.98645e-06	1.91712e-05	0.000105644	0.000395174	0.000736326	0.000852432	0.000752486	0.000405761	0.000105808	1.91712e-05	2.98645e-06	4.11449e-07	6.02018e-08	1.04371e-08	1.43246e-09	1.55637e-10
8.5095	1.55687e-10	1.43292e-09	1.04405e-08	6.02212e-08	4.11583e-07	2.98746e-06	1.91783e-05	0.000105696	0.000395661	0.000737628	0.000853813	0.00075346	0.000405955	0.00010585	1.91783e-05	2.98746e-06	4.11583e-07	6.02212e-08	1.04405e-08	1.43292e-09	1.55687e-10
8.5100	1.55736e-10	1.43337e-09	1.04438e-08	6.02401e-08	4.11714e-07	2.98844e-06	1.91852e-05	0.000105747	0.000396137	0.000738909	0.000855173	0.000754419	0.000406148	0.000105892	1.91852e-05	2.98844e-06	4.11714e-07	6.02401e-08	1.04438e-08	1.43337e-09	1.55736e-10
8.5105	1.55784e-10	1.43381e-09	1.0447e-08	6.02586e-08	4.11842e-07	2.98941e-06	1.9192e-05	0.000105797	0.000396605	0.000740168	0.00085651	0.000755364	0.000406339	0.000105933	1.9192e-05	2.98941e-06	4.11842e-07	6.02586e-08	1.0447e-08	1.43381e-09	1.55784e-10
8.5110	1.55831e-10	1.43424e-09	1.04501e-08	6.02766e-08	4.11967e-07	2.99035e-06	1.91987e-05	0.000105846	0.000397062	0.000741407	0.000857827	0.000756294	0.000406528	0.000105974	1.91987e-05	2.99035e-06	4.11967e-07	6.02766e-08	1.04501e-08	1.43424e-09	1.55831e-10
8.5115	1.55876e-10	1.43466e-09	1.04532e-08	6.02942e-08	4.12089e-07	2.99127e-06	1.92052e-05	0.000105893	0.00039751	0.000742625	0.000859123	0.00075721	0.000406714	0.000106014	1.92052e-05	2.99127e-06	4.12089e-07	6.02942e-08	1.04532e-08	1.43466e-09	1.55876e-10
8.5120	1.55921e-10	1.43507e-09	1.04561e-08	6.03114e-08	4.12208e-07	2.99216e-06	1.92115e-05	0.00010594	0.00039795	0.000743823	0.000860399	0.000758112	0.000406899	0.000106053	1.92115e-05	2.99216e-06	4.12208e-07	6.03114e-08	1.04561e-08	1.43507e-09	1.55921e-10
8.5125	1.55964e-10	1.43547e-09	1.0459e-08	6.03281e-08	4.12323e-07	2.99304e-06	1.92177e-05	0.000105985	0.00039838	0.000745001	0.000861654	0.000759	0.000407082	0.000106092	1.92177e-05	2.99304e-06	4.12323e-07	6.03281e-08	1.0459e-08	1.43547e-09	1.55964e-10
8.5130	1.56006e-10	1.43585e-09	1.04619e-08	6.03444e-08	4.12436e-07	2.99389e-06	1.92238e-05	0.00010603	0.000398801	0.00074616	0.000862889	0.000759875	0.000407263	0.000106131	1.92238e-05	2.99389e-06	4.12436e-07	6.03444e-08	1.04619e-08	1.43585e-09	1.56006e-10
8.5135	1.56047e-10	1.43623e-09	1.04646e-08	6.03603e-08	4.12546e-07	2.99472e-06	1.92297e-05	0.000106073	0.000399214	0.000747299	0.000864104	0.000760736	0.000407442	0.000106168	1.92297e-05	2.99472e-06	4.12546e-07	6.03603e-08	1.04646e-08	1.43623e-09	1.56047e-10
8.5140	1.56087e-10	1.4366e-09	1.04673e-08	6.03758e-08	4.12654e-07	2.99553e-06	1.92354e-05	0.000106116	0.000399618	0.000748419	0.0008653	0.000761584	0.000407619	0.000106205	1.92354e-05	2.99553e-06	4.12654e-07	6.03758e-08	1.04673e-08	1.4366e-09	1.56087e-10
8.5145	1.56126e-10	1.43696e-09	1.04699e-08	6.03909e-08	4.12758e-07	2.99632e-06	1.9241e-05	0.000106158	0.000400013	0.000749521	0.000866477	0.000762418	0.000407794	0.000106242	1.9241e-05	2.99632e-06	4.12758e-07	6.03909e-08	1.04699e-08	1.43696e-09	1.56126e-10
8.5150	1.56164e-10	1.43731e-09	1.04725e-08	6.04056e-08	4.1286e-07	2.99709e-06	1.92465e-05	0.000106198	0.000400401	0.000750604	0.000867635	0.00076324	0.000407967	0.000106278	1.92465e-05	2.99709e-06	4.1286e-07	6.04056e-08	1.04725e-08	1.43731e-09	1.56164e-10
8.5155	1.56201e-10	1.43765e-09	1.04749e-08	6.04199e-08	4.12959e-07	2.99784e-06	1.92519e-05	0.000106238	0.00040078	0.000751669	0.000868775	0.000764048	0.000408137	0.000106313	1.92519e-05	2.99784e-06	4.12959e-07	6.04199e-08	1.04749e-08	1.43765e-09	1.56201e-10
